"#chr" "region_id" "TSS" "start" "end" "contexts" "original_data"
"chr3" "ENSG00000114487" 109118134 107160000 111640000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114487.univariate_twas_weights.rds"
"chr3" "ENSG00000114491" 124730433 123730432 125920000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114491.univariate_twas_weights.rds"
"chr3" "ENSG00000114503" 196942594 195600000 198295559 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114503.univariate_twas_weights.rds"
"chr3" "ENSG00000114520" 125520202 124446650 126520202 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114520.univariate_twas_weights.rds"
"chr3" "ENSG00000114529" 112086335 111086334 113131004 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114529.univariate_twas_weights.rds"
"chr3" "ENSG00000114541" 69542583 68168782 71720000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114541.univariate_twas_weights.rds"
"chr3" "ENSG00000114544" 126101561 125006357 127600000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114544.univariate_twas_weights.rds"
"chr3" "ENSG00000114547" 125969160 124969159 127600000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114547.univariate_twas_weights.rds"
"chr3" "ENSG00000114554" 126988594 125680000 128037392 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114554.univariate_twas_weights.rds"
"chr3" "ENSG00000114573" 113747035 112560000 115840000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114573.univariate_twas_weights.rds"
"chr3" "ENSG00000114626" 127672935 126672934 128680926 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114626.univariate_twas_weights.rds"
"chr3" "ENSG00000114631" 127629185 126629184 128672802 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114631.univariate_twas_weights.rds"
"chr3" "ENSG00000114638" 119173517 116560000 121480000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114638.univariate_twas_weights.rds"
"chr3" "ENSG00000114646" 47580792 46562238 50320000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114646.univariate_twas_weights.rds"
"chr3" "ENSG00000114648" 47282917 44920000 50320000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114648.univariate_twas_weights.rds"
"chr3" "ENSG00000114650" 47477126 46413681 50320000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114650.univariate_twas_weights.rds"
"chr3" "ENSG00000114654" 129001629 128001628 130040742 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114654.univariate_twas_weights.rds"
"chr3" "ENSG00000114656" 129002690 127909866 130002690 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114656.univariate_twas_weights.rds"
"chr3" "ENSG00000114670" 131026850 130026849 132640000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114670.univariate_twas_weights.rds"
"chr3" "ENSG00000114686" 131502983 130040000 132640000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114686.univariate_twas_weights.rds"
"chr3" "ENSG00000114698" 146251179 143680000 149480000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114698.univariate_twas_weights.rds"
"chr3" "ENSG00000114735" 50569152 49569151 51920000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114735.univariate_twas_weights.rds"
"chr3" "ENSG00000114737" 50611774 49606489 51920000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114737.univariate_twas_weights.rds"
"chr3" "ENSG00000114738" 50611520 49611519 51920000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114738.univariate_twas_weights.rds"
"chr3" "ENSG00000114739" 38453890 36920000 39493142 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114739.univariate_twas_weights.rds"
"chr3" "ENSG00000114742" 39052013 37840000 40096671 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114742.univariate_twas_weights.rds"
"chr3" "ENSG00000114744" 149752489 148738472 151160000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114744.univariate_twas_weights.rds"
"chr3" "ENSG00000114745" 39107863 37840000 40107863 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114745.univariate_twas_weights.rds"
"chr3" "ENSG00000114757" 180037053 178794958 181037053 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114757.univariate_twas_weights.rds"
"chr3" "ENSG00000114767" 51941904 50933429 56680000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114767.univariate_twas_weights.rds"
"chr3" "ENSG00000114770" 184017939 182800000 185017939 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114770.univariate_twas_weights.rds"
"chr3" "ENSG00000114779" 51983409 50968510 56680000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114779.univariate_twas_weights.rds"
"chr3" "ENSG00000114784" 40309707 39309706 42880000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114784.univariate_twas_weights.rds"
"chr3" "ENSG00000114786" 51974706 50974705 56680000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114786.univariate_twas_weights.rds"
"chr3" "ENSG00000114790" 154121003 152560000 155257827 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114790.univariate_twas_weights.rds"
"chr3" "ENSG00000114796" 183635610 182635609 184684519 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114796.univariate_twas_weights.rds"
"chr3" "ENSG00000114805" 155745071 154280000 156745071 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114805.univariate_twas_weights.rds"
"chr3" "ENSG00000114812" 42489299 39320000 45040000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114812.univariate_twas_weights.rds"
"chr3" "ENSG00000114841" 52316319 51316318 56680000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114841.univariate_twas_weights.rds"
"chr3" "ENSG00000114850" 156555149 155539553 157560000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114850.univariate_twas_weights.rds"
"chr3" "ENSG00000114853" 42653697 39320000 45040000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114853.univariate_twas_weights.rds"
"chr3" "ENSG00000114854" 52454041 51451100 56680000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114854.univariate_twas_weights.rds"
"chr3" "ENSG00000114857" 42600660 39320000 45040000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114857.univariate_twas_weights.rds"
"chr3" "ENSG00000114859" 184361650 182800000 185600000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114859.univariate_twas_weights.rds"
"chr3" "ENSG00000114861" 71583989 68960000 72583989 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114861.univariate_twas_weights.rds"
"chr3" "ENSG00000114867" 184314495 182800000 185600000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114867.univariate_twas_weights.rds"
"chr3" "ENSG00000114902" 52704955 51704954 56680000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114902.univariate_twas_weights.rds"
"chr3" "ENSG00000114904" 52770946 51708444 56680000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114904.univariate_twas_weights.rds"
"chr2" "ENSG00000114923" 219627394 216000000 222640000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114923.univariate_twas_weights.rds"
"chr2" "ENSG00000114933" 206086303 203920000 208360000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114933.univariate_twas_weights.rds"
"chr2" "ENSG00000114942" 206159585 205159584 208360000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114942.univariate_twas_weights.rds"
"chr2" "ENSG00000114948" 206443532 205443531 208360000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114948.univariate_twas_weights.rds"
"chr2" "ENSG00000114956" 73926826 72926825 74958961 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114956.univariate_twas_weights.rds"
"chr2" "ENSG00000114978" 74178898 73152528 75178898 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114978.univariate_twas_weights.rds"
"chr2" "ENSG00000114982" 96642787 89240000 97642787 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114982.univariate_twas_weights.rds"
"chr2" "ENSG00000114988" 96740064 89240000 97740064 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114988.univariate_twas_weights.rds"
"chr2" "ENSG00000114993" 74442422 73240000 75442422 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114993.univariate_twas_weights.rds"
"chr2" "ENSG00000114999" 112482156 109760000 113600000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000114999.univariate_twas_weights.rds"
"chr2" "ENSG00000115008" 112784493 109760000 113784493 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115008.univariate_twas_weights.rds"
"chr2" "ENSG00000115020" 208266255 206000000 210280000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115020.univariate_twas_weights.rds"
"chr2" "ENSG00000115041" 95297327 89240000 97520000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115041.univariate_twas_weights.rds"
"chr2" "ENSG00000115042" 95402708 89240000 97520000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115042.univariate_twas_weights.rds"
"chr2" "ENSG00000115053" 231464551 227120000 232464551 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115053.univariate_twas_weights.rds"
"chr2" "ENSG00000115073" 97664044 96655939 100600000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115073.univariate_twas_weights.rds"
"chr2" "ENSG00000115084" 113756693 112706709 117960000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115084.univariate_twas_weights.rds"
"chr2" "ENSG00000115085" 97713576 96713575 100600000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115085.univariate_twas_weights.rds"
"chr2" "ENSG00000115091" 113890063 112890062 117960000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115091.univariate_twas_weights.rds"
"chr2" "ENSG00000115107" 119223831 117800000 120265652 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115107.univariate_twas_weights.rds"
"chr2" "ENSG00000115109" 120013077 119013076 121800000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115109.univariate_twas_weights.rds"
"chr2" "ENSG00000115112" 121285202 119280000 122285202 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115112.univariate_twas_weights.rds"
"chr2" "ENSG00000115128" 24076326 20640000 25360000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115128.univariate_twas_weights.rds"
"chr2" "ENSG00000115129" 24085861 20640000 25360000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115129.univariate_twas_weights.rds"
"chr2" "ENSG00000115137" 24972094 23800000 25972094 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115137.univariate_twas_weights.rds"
"chr2" "ENSG00000115138" 25168903 23800000 27680000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115138.univariate_twas_weights.rds"
"chr2" "ENSG00000115145" 152175763 151116801 153175763 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115145.univariate_twas_weights.rds"
"chr2" "ENSG00000115155" 26558756 25160000 27680000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115155.univariate_twas_weights.rds"
"chr2" "ENSG00000115159" 156435290 155320000 157613735 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115159.univariate_twas_weights.rds"
"chr2" "ENSG00000115163" 26764289 25160000 27801067 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115163.univariate_twas_weights.rds"
"chr2" "ENSG00000115165" 157488961 156414619 158880000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115165.univariate_twas_weights.rds"
"chr2" "ENSG00000115170" 157876330 156736444 158880000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115170.univariate_twas_weights.rds"
"chr2" "ENSG00000115183" 158968640 157968639 160232659 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115183.univariate_twas_weights.rds"
"chr2" "ENSG00000115194" 27275817 25160000 28275817 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115194.univariate_twas_weights.rds"
"chr2" "ENSG00000115204" 27325680 25160000 28325680 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115204.univariate_twas_weights.rds"
"chr2" "ENSG00000115207" 27357034 25160000 28357034 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115207.univariate_twas_weights.rds"
"chr2" "ENSG00000115211" 27370457 25160000 28920000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115211.univariate_twas_weights.rds"
"chr2" "ENSG00000115216" 27427790 25160000 28920000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115216.univariate_twas_weights.rds"
"chr2" "ENSG00000115226" 27495200 25160000 28920000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115226.univariate_twas_weights.rds"
"chr2" "ENSG00000115232" 181457207 179800000 183160000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115232.univariate_twas_weights.rds"
"chr2" "ENSG00000115233" 161308425 159960000 162411717 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115233.univariate_twas_weights.rds"
"chr2" "ENSG00000115234" 27370496 25160000 28920000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115234.univariate_twas_weights.rds"
"chr2" "ENSG00000115239" 53860160 50480000 55680000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115239.univariate_twas_weights.rds"
"chr2" "ENSG00000115241" 27409591 25160000 28920000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115241.univariate_twas_weights.rds"
"chr2" "ENSG00000115252" 182523192 179800000 183523192 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115252.univariate_twas_weights.rds"
"chr19" "ENSG00000115255" 1491181 0 5800000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115255.univariate_twas_weights.rds"
"chr19" "ENSG00000115257" 1490752 0 5800000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115257.univariate_twas_weights.rds"
"chr19" "ENSG00000115266" 1446302 0 5800000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115266.univariate_twas_weights.rds"
"chr2" "ENSG00000115267" 162318684 161120000 163318684 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115267.univariate_twas_weights.rds"
"chr19" "ENSG00000115268" 1438358 0 5800000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115268.univariate_twas_weights.rds"
"chr2" "ENSG00000115271" 162318840 161120000 165000000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115271.univariate_twas_weights.rds"
"chr2" "ENSG00000115274" 74455087 73240000 75457944 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115274.univariate_twas_weights.rds"
"chr2" "ENSG00000115275" 74465410 73240000 75465410 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115275.univariate_twas_weights.rds"
"chr2" "ENSG00000115282" 74483081 73240000 75494559 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115282.univariate_twas_weights.rds"
"chr19" "ENSG00000115286" 1383527 0 5800000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115286.univariate_twas_weights.rds"
"chr2" "ENSG00000115289" 74507695 73240000 75507695 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115289.univariate_twas_weights.rds"
"chr2" "ENSG00000115290" 164621482 162320000 165621482 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115290.univariate_twas_weights.rds"
"chr2" "ENSG00000115295" 29097705 28097704 30189643 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115295.univariate_twas_weights.rds"
"chr2" "ENSG00000115297" 74513463 73240000 75517148 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115297.univariate_twas_weights.rds"
"chr2" "ENSG00000115306" 54456317 53456316 55680000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115306.univariate_twas_weights.rds"
"chr2" "ENSG00000115307" 74529760 73240000 75529760 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115307.univariate_twas_weights.rds"
"chr2" "ENSG00000115310" 55112621 53760000 56112621 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115310.univariate_twas_weights.rds"
"chr2" "ENSG00000115317" 74529725 73240000 75533332 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115317.univariate_twas_weights.rds"
"chr2" "ENSG00000115318" 74555690 73240000 75555690 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115318.univariate_twas_weights.rds"
"chr2" "ENSG00000115325" 74549026 73240000 75557551 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115325.univariate_twas_weights.rds"
"chr2" "ENSG00000115339" 165794659 164640000 166794659 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115339.univariate_twas_weights.rds"
"chr2" "ENSG00000115350" 74958643 73958642 79080000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115350.univariate_twas_weights.rds"
"chr2" "ENSG00000115353" 75199520 74046463 79080000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115353.univariate_twas_weights.rds"
"chr2" "ENSG00000115355" 55419895 53760000 56419895 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115355.univariate_twas_weights.rds"
"chr2" "ENSG00000115361" 210225447 208080000 212680000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115361.univariate_twas_weights.rds"
"chr2" "ENSG00000115363" 75569722 74469302 79080000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115363.univariate_twas_weights.rds"
"chr2" "ENSG00000115364" 75646783 74600000 79080000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115364.univariate_twas_weights.rds"
"chr2" "ENSG00000115365" 210477652 209431249 212680000 NA "/mnt/lustre/data/gaowang/twas_weights/ROSMAP_eQTL/batch1_twas_weights/ROSMAP_DeJager_eQTL.ENSG00000115365.univariate_twas_weights.rds"
